,producto,provincia
0,INCULTO,Jujuy
1,INCULTO,Mendoza
2,INCULTO,Entre Ríos
3,INCULTO,Salta
4,INCULTO,Río Negro
5,INCULTO,Catamarca
6,INCULTO,Chaco
7,INCULTO,Corrientes
8,INCULTO,San Juan
9,INCULTO,Formosa
10,INCULTO,Buenos Aires
11,INCULTO,Tucumán
12,INCULTO,San Luis
13,MONTE,Misiones
14,MONTE,Entre Ríos
15,MONTE,Tucumán
16,MONTE,San Luis
17,MONTE,San Juan
18,MONTE,Mendoza
19,MONTE,Corrientes
20,MONTE,Río Negro
21,MONTE,Chubut
22,MONTE,Salta
23,MONTE,Buenos Aires
24,MONTE,Jujuy
25,MONTE,La Rioja
26,ZAPALLO,Entre Ríos
27,ZAPALLO,Chaco
28,ZAPALLO,Río Negro
29,ZAPALLO,Buenos Aires
30,ZAPALLO,San Luis
31,ZAPALLO,Córdoba
32,ZAPALLO,Ciudad de Buenos Aires
33,ZAPALLO,San Juan
34,ZAPALLO,Neuquén
35,ZAPALLO,La Rioja
36,ZAPALLO,Mendoza
37,CAMPO NATURAL,Chaco
38,CAMPO NATURAL,Entre Ríos
39,CAMPO NATURAL,Salta
40,CAMPO NATURAL,Chubut
41,CAMPO NATURAL,Jujuy
42,CAMPO NATURAL,Buenos Aires
43,CAMPO NATURAL,Corrientes
44,CAMPO NATURAL,Mendoza
45,CAMPO NATURAL,San Juan
46,TERNEROS,Chubut
47,TERNEROS,Buenos Aires
48,TERNEROS,San Luis
49,TERNEROS,Córdoba
50,TERNEROS,Entre Ríos
51,TERNEROS,Santa Cruz
52,TERNEROS,Tierra del Fuego
53,TERNEROS,Misiones
54,TERNEROS,Río Negro
55,VACAS,Tierra del Fuego
56,VACAS,Santa Cruz
57,VACAS,San Luis
58,VACAS,Córdoba
59,VACAS,Chubut
60,VACAS,Entre Ríos
61,VACAS,Buenos Aires
62,VACAS,Misiones
63,VACAS,Río Negro
64,VAQUILLONAS,Buenos Aires
65,VAQUILLONAS,Río Negro
