,provincia,promedio,desvio,mayor_o_menor_promedio_pais
0,Jujuy,0.21582572614107873,0.28136652389043626,mayor
1,La Pampa,0.08435282358820584,0.23028927342208824,menor
2,La Rioja,0.1420564705882353,0.24818697609954957,mayor
3,Catamarca,0.10243046357615893,0.2369484702746414,menor
4,Chaco,0.06189223454833594,0.19432024746849647,menor
5,Buenos Aires,0.15124846477609807,0.2735343424258531,mayor
6,Salta,0.17629092350376543,0.2746025940154738,mayor
7,San Luis,0.10485833333333329,0.2438344938890917,menor
8,Santiago del Estero,0.09996275071633237,0.2454950388475011,menor
9,Corrientes,0.062437188019966706,0.1875705970747304,menor
10,Ciudad de Buenos Aires,0.29298965102286506,0.3451442774902525,mayor
11,Formosa,0.06268631178707224,0.19992469649700303,menor
12,Mendoza,0.12405615241369458,0.24603489630312622,menor
13,Neuquén,0.1864032496307238,0.2957949396470219,mayor
14,San Juan,0.09806917542888749,0.23152362875458227,menor
15,Tierra del Fuego,0.3019378531073447,0.3697226411015315,mayor
16,Chubut,0.14162670068027217,0.276475934271227,mayor
17,Santa Fe,0.11097033937703418,0.25213838143750406,menor
18,Córdoba,0.12074778761061979,0.2648480229633196,menor
19,Misiones,0.09145627849150421,0.2202890237746709,menor
20,Río Negro,0.14642046010768464,0.2712977498286339,mayor
21,Tucumán,0.13186267447095887,0.2563293376330586,menor
22,Entre Ríos,0.08648773129525332,0.22240478186156942,menor
23,Santa Cruz,0.19463382899628254,0.3224844802014299,mayor
