,id,departamento,id_provincia
0,95001,BIEDMA,62
1,26007,BIEDMA,26
2,95002,GUASAYAN,86
3,86084,GUASAYAN,10
4,74056,JUAN MARTIN PUEYRREDON,74
5,95003,LA CAPITAL,74
6,10070,LA PAZ,10
7,95004,LA PAZ,86
8,02001,CIUDAD AUTONOMA BUENOS AIRES,2
9,06007,ADOLFO ALSINA,6
10,06014,ADOLFO GONZALES CHAVES,6
11,06021,ALBERTI,6
12,06028,ALMIRANTE BROWN,6
13,06042,AYACUCHO,6
14,06049,AZUL,6
15,06056,BAHIA BLANCA,6
16,06063,BALCARCE,6
17,06070,BARADERO,6
18,06077,ARRECIFES,6
19,06084,BENITO JUAREZ,6
20,06091,BERAZATEGUI,6
21,06098,BERISSO,6
22,06105,BOLIVAR,6
23,06112,BRAGADO,6
24,06119,BRANDSEN,6
25,06126,CAMPANA,6
26,06134,CAÑUELAS,6
27,06140,CAPITAN SARMIENTO,6
28,06147,CARLOS CASARES,6
29,06154,CARLOS TEJEDOR,6
30,06161,CARMEN DE ARECO,6
31,06168,CASTELLI,6
32,06175,COLON,6
33,06182,CORONEL DE MARINA LEONARDO ROSALES,6
34,06189,CORONEL DORREGO,6
35,06196,CORONEL PRINGLES,6
36,06203,CORONEL SUAREZ,6
37,06210,CHACABUCO,6
38,06218,CHASCOMUS,6
39,06224,CHIVILCOY,6
40,06231,DAIREAUX,6
41,06245,ENSENADA,6
42,06252,ESCOBAR,6
43,06260,ESTEBAN ECHEVERRIA,6
44,06266,EXALTACION DE LA CRUZ,6
45,06270,EZEIZA,6
46,06274,FLORENCIO VARELA,6
47,06277,FLORENTINO AMEGHINO,6
48,06280,GENERAL ALVARADO,6
49,06287,GENERAL ALVEAR,6
50,06294,GENERAL ARENALES,6
51,06301,GENERAL BELGRANO,6
52,06308,GENERAL GUIDO,6
53,06315,GENERAL JUAN MADARIAGA,6
54,06322,GENERAL LA MADRID,6
55,06329,GENERAL LAS HERAS,6
56,06336,GENERAL LAVALLE,6
57,06343,GENERAL PAZ,6
58,06351,GENERAL PINTO,6
59,06357,GENERAL PUEYRREDON,6
60,06364,GENERAL RODRIGUEZ,6
61,06371,GENERAL SAN MARTIN,6
62,06385,GENERAL VIAMONTE,6
63,06392,GENERAL VILLEGAS,6
64,06399,GUAMINI,6
65,06408,HURLINGHAM,6
66,06410,ITUZAINGO,6
67,06412,JOSE C. PAZ,6
68,06413,JUNIN,6
69,06420,LA COSTA,6
70,06427,LA MATANZA,6
71,06434,LANUS,6
72,06441,LA PLATA,6
73,06448,LAPRIDA,6
74,06455,LAS FLORES,6
75,06462,LEANDRO N. ALEM,6
76,06466,LEZAMA,6
77,06469,LINCOLN,6
78,06476,LOBERIA,6
79,06483,LOBOS,6
80,06490,LOMAS DE ZAMORA,6
81,06497,LUJAN,6
82,06505,MAGDALENA,6
83,06511,MAIPU,6
84,06515,MALVINAS ARGENTINAS,6
85,06518,MAR CHIQUITA,6
86,06525,MARCOS PAZ,6
87,06532,MERCEDES,6
88,06539,MERLO,6
89,06547,MONTE,6
90,06553,MONTE HERMOSO,6
91,06560,MORENO,6
92,06568,MORON,6
93,06574,NAVARRO,6
94,06581,NECOCHEA,6
95,06588,9 DE JULIO,6
96,06595,OLAVARRIA,6
97,06602,PATAGONES,6
98,06609,PEHUAJO,6
99,06616,PELLEGRINI,6
100,06623,PERGAMINO,6
101,06630,PILA,6
102,06638,PILAR,6
103,06644,PINAMAR,6
104,06648,PRESIDENTE PERON,6
105,06655,PUNTA INDIO,6
106,06658,QUILMES,6
107,06665,RAMALLO,6
108,06672,RAUCH,6
109,06679,RIVADAVIA,6
110,06686,ROJAS,6
111,06693,ROQUE PEREZ,6
112,06707,SALADILLO,6
113,06714,SALTO,6
114,06721,SALLIQUELO,6
115,06728,SAN ANDRES DE GILES,6
116,06735,SAN ANTONIO DE ARECO,6
117,06742,SAN CAYETANO,6
118,06749,SAN FERNANDO,6
119,06756,SAN ISIDRO,6
120,06760,SAN MIGUEL,6
121,06763,SAN NICOLAS,6
122,06770,SAN PEDRO,6
123,06778,SAN VICENTE,6
124,06784,SUIPACHA,6
125,06791,TANDIL,6
126,06798,TAPALQUE,6
127,06805,TIGRE,6
128,06819,TORNQUIST,6
129,06826,TRENQUE LAUQUEN,6
130,06833,TRES ARROYOS,6
131,06840,TRES DE FEBRERO,6
132,06847,TRES LOMAS,6
133,06854,25 DE MAYO,6
134,06861,VICENTE LOPEZ,6
135,06868,VILLA GESELL,6
136,06875,VILLARINO,6
137,06882,ZARATE,6
138,10007,AMBATO,10
139,10014,ANCASTI,10
140,10021,ANDALGALA,10
141,10028,ANTOFAGASTA DE LA SIERRA,10
142,10035,BELEN,10
143,10042,CAPAYAN,10
144,10049,CAPITAL,10
145,10056,EL ALTO,10
146,10063,FRAY MAMERTO ESQUIU,10
147,10077,PACLIN,10
148,10084,POMAN,10
149,10091,SANTA MARIA,10
150,10098,SANTA ROSA,10
151,10105,TINOGASTA,10
152,10112,VALLE VIEJO,10
153,14007,CALAMUCHITA,14
154,14014,CAPITAL,14
155,14021,COLON,14
156,14028,CRUZ DEL EJE,14
157,14035,GENERAL ROCA,14
158,14042,GENERAL SAN MARTIN,14
159,14049,ISCHILIN,14
160,14056,JUAREZ CELMAN,14
161,14063,MARCOS JUAREZ,14
162,14070,MINAS,14
163,14077,POCHO,14
