,departamento
0,BRANDSEN
1,CARLOS CASARES
2,PEHUAJO
3,TORNQUIST
4,NOGOYA
5,HUMAHUACA
6,CANDELARIA
7,GUARANI
8,LEANDRO N. ALEM
9,IRUYA
10,CONSTITUCION
11,SAN MARTIN
12,LA PAZ
13,GENERAL GUIDO
14,LA COSTA
15,EL ALTO
16,SOBREMONTE
17,TULUMBA
18,TRENEL
19,25 DE MAYO
20,RIO CHICO
21,GENERAL BELGRANO
22,HIPOLITO YRIGOYEN
23,SALLIQUELO
24,TRES DE FEBRERO
25,CONCEPCION
26,RIVADAVIA
27,BURRUYACU
28,CATAN LIL
29,ULLUM
30,GUASAYAN
31,SAN CAYETANO
32,MARACO
33,LACAR
34,ROSARIO VERA PEÑALOZA
35,JUAN MARTIN PUEYRREDON
36,CAPITAN SARMIENTO
37,MAR CHIQUITA
38,AMBATO
39,MINAS
40,PUNILLA
41,TERCERO ARRIBA
42,SALADAS
43,SAN COSME
44,SANTO TOME
45,RINCONADA
46,CHAPALEUFU
47,CHACABUCO
48,LAGO ARGENTINO
49,LAS COLONIAS
50,SAN JUSTO
51,BANDA
52,CARLOS TEJEDOR
53,TRES LOMAS
54,SAN ANTONIO
55,PELLEGRINI
56,BERAZATEGUI
57,CONHELO
58,PILA
59,PALPALA
60,GENERAL BELGRANO
61,USHUAIA
62,LA MATANZA
63,GENERAL JUAN FACUNDO QUIROGA
64,LA CANDELARIA
65,EZEIZA
66,MERLO
67,PRESIDENCIA DE LA PLAZA
68,GENERAL RODRIGUEZ
69,CASTELLI
70,GENERAL ARENALES
71,GENERAL VIAMONTE
72,GENERAL VILLEGAS
73,MONTE
74,MONTE HERMOSO
75,ANTOFAGASTA DE LA SIERRA
76,CAPITAL
77,MERCEDES
78,GENERAL DONOVAN
79,LIBERTADOR GENERAL SAN MARTIN
80,TAPENAGA
81,FAMATINA
82,AGUIRRE
83,CHOYA
84,GENERAL TABOADA
85,SALAVINA
86,GUASAYAN
87,SAN LUIS DEL PALMAR
88,CATRILO
89,CHICAL CO
90,PEHUENCHES
91,GOBERNADOR DUPUY
92,SILIPICA
93,CORONEL DE MARINA LEONARDO ROSALES
94,TAFI DEL VALLE
95,LEZAMA
96,TRENQUE LAUQUEN
97,GENERAL BELGRANO
98,GENERAL LAMADRID
99,GENERAL LAVALLE
