,departamento,provincia,cant_establecimientos_prod,cant_operadores_org
0,AZUL,Buenos Aires,554.0,10.0
1,TANDIL,Buenos Aires,791.0,3.0
2,25 DE MAYO,Buenos Aires,351.0,2.0
3,CALAMUCHITA,Córdoba,135.0,1.0
4,EL CARMEN,Jujuy,755.0,6.0
5,APOSTOLES,Misiones,164.0,1.0
6,CONFLUENCIA,Neuquén,423.0,46.0
7,EL CUY,Río Negro,21.0,10.0
8,CAFAYATE,Salta,57.0,5.0
9,GENERAL GÜEMES,Salta,179.0,2.0
10,25 DE MAYO,San Juan,111.0,5.0
11,9 DE JULIO,Santa Fe,205.0,1.0
12,RIO HONDO,Santiago del Estero,17.0,1.0
13,ESTEBAN ECHEVERRIA,Buenos Aires,158.0,2.0
14,SAN PEDRO,Buenos Aires,319.0,6.0
15,GENERAL ALVEAR,Corrientes,21.0,3.0
16,CUSHAMEN,Chubut,65.0,12.0
17,ADOLFO GONZALES CHAVES,Buenos Aires,156.0,1.0
18,SANTA ROSA,Mendoza,190.0,9.0
19,CHICOANA,Salta,220.0,1.0
20,CAUCETE,San Juan,172.0,9.0
21,QUEBRACHOS,Santiago del Estero,11.0,1.0
22,SAN MARTIN,Corrientes,45.0,2.0
23,SAN SALVADOR,Entre Ríos,170.0,3.0
24,CALEU CALEU,La Pampa,11.0,1.0
25,CAÑUELAS,Buenos Aires,185.0,1.0
26,VILLARINO,Buenos Aires,251.0,4.0
27,GUAYMALLEN,Mendoza,870.0,12.0
28,GENERAL MANUEL BELGRANO,Misiones,155.0,1.0
29,MONTECARLO,Misiones,159.0,2.0
30,BARILOCHE,Río Negro,237.0,3.0
31,DESEADO,Santa Cruz,174.0,6.0
32,SAN LORENZO,Santa Fe,413.0,2.0
33,RIO GRANDE,Tierra del Fuego,104.0,3.0
34,CAPITAL,Córdoba,1327.0,5.0
35,1º DE MAYO,Chaco,23.0,1.0
36,LA PAZ,Mendoza,21.0,5.0
37,FLORENTINO AMEGHINO,Chubut,16.0,2.0
38,SAN ANTONIO DE ARECO,Buenos Aires,181.0,1.0
39,GENERAL SAN MARTIN,Córdoba,788.0,16.0
40,ISCHILIN,Córdoba,73.0,1.0
41,COLON,Entre Ríos,253.0,1.0
42,URUGUAY,Entre Ríos,307.0,10.0
43,PILCOMAYO,Formosa,63.0,2.0
44,SAN PEDRO,Jujuy,66.0,3.0
45,SAN MARTIN,Mendoza,879.0,13.0
46,OBERA,Misiones,421.0,10.0
47,SAN IGNACIO,Misiones,137.0,10.0
48,SAN JAVIER,Misiones,41.0,181.0
49,GENERAL ROCA,Río Negro,1200.0,128.0
50,METAN,Salta,112.0,3.0
51,BARADERO,Buenos Aires,136.0,9.0
52,SAN NICOLAS,Buenos Aires,179.0,1.0
53,CORONEL PRINGLES,San Luis,60.0,1.0
54,SAN JAVIER,Santa Fe,123.0,6.0
55,LA COCHA,Tucumán,55.0,2.0
56,GRANEROS,Tucumán,23.0,1.0
