,producto,clae2
0,ABONO VERDE,1
1,ACEITE DE CANOLA,10
2,ACEITE DE CARTAMO,10
3,ACEITE DE CHIA,10
4,ACEITE DE COLZA,10
5,ACEITE DE COLZA CANOLA,10
6,ACEITE DE GIRASOL,10
7,ACEITE DE GIRASOL ALTO OLEICO,10
8,ACEITE DE JOJOBA,10
9,ACEITE DE LIMON,10
10,ACEITE DE LIMPIEZA,20
11,ACEITE DE MANDARINA,10
12,ACEITE DE MANI,10
13,ACEITE DE OLIVA,10
14,ACEITE DE OLIVA SABORIZADO,10
15,ACEITE DE OLVIA,10
16,ACEITE DE PARAMELA,10
17,ACEITE DE ROSA MOSQUETA,10
18,ACEITE DE SOJA,10
19,ACEITE ESENCIAL DE GERANIO,21
20,ACEITE ESENCIAL DE LEMONGRASS,21
21,ACEITE ESENCIAL DE LIMON,21
22,ACEITE ESENCIAL DE MANDARINA,21
23,ACEITE ESENCIAL DE NARANJA,21
24,ACEITE ESENCIAL DE OREGANO,21
25,ACEITE ESENCIAL DE POMELO,21
26,ACEITES,10
27,ACEITES DE COLZA,10
28,ACEITUNAS,10
29,ACEITUNAS NEGRAS,10
30,ACEITUNAS VERDES,10
31,ACELGA,10
32,ACETO,10
33,ACOPIO DE CEREALES,1
34,ACOPIO DE MAIZ,1
35,AGRICULTURA,1
36,AJEDREA,1
37,AJENJO,1
38,AJI,1
39,AJO,1
40,AJO NEGRO,1
41,ALAMO,1
42,ALBAHACA,1
43,ALCAUCIL,1
44,ALCOHOL,10
45,ALFALFA,1
46,ALGARROBO,1
47,ALGAS MARINAS,3
48,ALIMENTO BALANCEADO,10
49,ALMENDRAS,1
50,ALOE VERA,1
51,ALPISTE,1
52,ALZA MELARIA,1
53,AMARANTO,1
54,ANANA,1
55,APIO,1
56,APIO CHINO,1
57,ARANDANO,1
58,ARANDANO CONGELADO,1
59,ARANDANOS,1
60,AROMAS DE  MANZANA,20
61,AROMAS DE PERA,20
62,AROMATICAS,20
63,ARROZ,1
64,ARROZ BLANCO PULIDO,1
65,ARROZ INTEGRAL,1
66,ARVEJA,1
67,ARVEJAS,1
68,AVELLANAS,1
69,AVELLANO,1
70,AVENA,1
71,AVENA ARROLLADA,1
72,AZAFRAN,1
73,AZUCAR,1
74,AZUCAR DE CAÑA,1
75,AZUCAR INTEGRAL DE CAÑA,1
76,BANANO,1
77,BATATA,1
78,BERENJENA,1
79,BERENJENAS,1
80,BLANCO PULIDO,999
81,BLOUSSE PUNCHAS,13
82,BORREGAS,1
83,BORREGOS,1
84,BOVINOS,1
85,BOYSENBERRY,1
86,BRASSICA ALBOGLABRA,1
87,BRASSICA CHINENSIS,1
88,BRASSICA JUNCEA,1
89,BRASSICA NAPUS,1
90,BROCOLI,1
91,CALENDULA,1
92,CAMPO INCULTO,1
93,CAMPO NATURAL,1
94,CANOLA,1
95,CAPONES,1
96,CAPUERA,1
97,CARAMELOS,1
98,CARNE VACUNA,1
99,CARNEROS,1
100,CARNES,1
101,CAROZO,1
102,CARTAMO,1
103,CASCARA,1
104,CASCARILLA DE ROSA MOSQUETA,1
105,CASSIS,1
106,CASTAÑA,1
107,CAÑA DE AZUCAR,1
108,CAÑA DE CASTILLA,1
109,CEBADA,1
110,CEBOLLA,1
111,CEBOLLA DE VERDEO,1
112,CEBOLLA VERDEO,1
113,CEDRON,1
114,CENTENO,1
115,CERA,21
116,CEREALES,1
117,CERELAES,1
118,CEREZA,1
119,CEREZAS,1
120,CHAUCHA,1
121,CHIA,1
122,CHIA SALVIA HISPANICA L,1
123,CHOCLO,1
124,CHOCOLATE,10
125,CHUFA,10
126,CHUPETINES,10
127,CIBOULETTE,1
128,CILANTRO,1
129,CIRUELA,1
130,CIRUELA DESECADA,1
131,CIRUELA DESHIDRATADA,1
132,CIRUELA DESHIDRATADA CON CAROZO,1
133,CIRUELAS,1
134,CIRUELAS DESECADAS,1
135,CIRUELAS SECAS,1
136,CITRICOS,1
