,id_op_or,producto
0,973.0,EMULSION CORPORAL SUAVIZANTE
1,973.0,EMULSION CORPORAL NUTRITIVA
2,973.0,EMULSION CORPORAL ANTIAGE
3,973.0,CREMA FACIAL ANTIAGE
4,973.0,CREMA FACIAL DIURNA
5,973.0,CREMA FACIAL NOCTURNA NUTRITIVA
6,973.0,SERUM CONTORNO DE OJOS
7,973.0,SERUM CONTORNO DE LABIOS
8,973.0,TONICO FACIAL
9,973.0,ACEITE DE LIMPIEZA
10,974.0,MIEL
11,975.0,PAPILLA PARA BEBE
12,991.0,YERBA MATE
13,991.0,TE
14,1027.0,MIEL
15,1286.0,VINO
16,1287.0,AZUCAR DE CAÑA
17,1287.0,CHIA SALVIA HISPANICA L
18,1287.0,POROTO
19,1287.0,AJO NEGRO
20,1287.0,MELAZA
21,1287.0,CEREALES
22,1288.0,TORTA DE SOJA
23,1288.0,CHIA
24,1288.0,HARINA DE COLZA
25,1288.0,ARROZ
26,1288.0,CENTENO
27,1288.0,LINO
28,1288.0,SORGO
29,1288.0,AVENA
30,1288.0,ACEITE DE GIRASOL
31,1288.0,ACEITE DE SOJA
32,1288.0,HARINA DE GIRASOL
33,1288.0,HARINA DE SOJA
34,1288.0,TRIGO
35,1288.0,GARBANZO
36,1288.0,SOJA
37,1288.0,GIRASOL
38,1288.0,HARINA DE SOJA
39,1288.0,COLZA
40,1288.0,ACEITE DE COLZA
41,1288.0,MAIZ
42,1288.0,CARTAMO
43,1288.0,CEBADA
44,1288.0,MIJO
45,1289.0,LANA LAVADA
46,1289.0,LANA SUCIA
47,1289.0,TOPS DE LANA
48,1289.0,BLOUSSE PUNCHAS
49,1290.0,MIEL
50,1291.0,YERBA MATE
51,1291.0,TE NEGRO
52,1292.0,GIRASOL
53,1292.0,LINO
54,1292.0,MAIZ
55,1292.0,MAIZ PISINGALLO
56,1292.0,SOJA
57,1292.0,TRIGO
58,1292.0,GARBANZO
59,1293.0,CEREALES
60,1293.0,OLEAGINOSAS
61,1294.0,CHIA SALVIA HISPANICA L
62,1295.0,LANA LAVADA
63,1295.0,LANA SUCIA
64,1295.0,TOPS DE LANA
65,1296.0,TRUCHAS A LAS FINAS HIERBAS
66,1296.0,PATE DE TRUCHA
67,1296.0,TRUCA AL AJI KITUCHO
68,1297.0,ACEITE DE JOJOBA
69,1298.0,CEREALES
70,1298.0,OLEAGINOSAS
71,1298.0,OTROS PRODUCTOS ORGANICOS
72,1299.0,PULPA CONCENTRADA DE CIRUELA
73,1299.0,PURE DE PERA CONCENTRADO
74,1299.0,PURE DE DAMASCO CONCENTRADO
75,1299.0,PURE DE DAMASCO
76,1299.0,ZAPALLO
77,1299.0,PULPA DE DAMASCO
78,1299.0,ZANAHORIA
79,1299.0,PULPA CONCENTRADA DE DURAZNO
80,1299.0,PURE DE ZANAHORIA
81,1299.0,PURE DE DURAZNO
82,1299.0,PULPA DE MANZANA
83,1299.0,PULPA DE ZANAHORIA
84,1299.0,PULPA DE ZAPALLO
85,1299.0,MANZANA
86,1299.0,PULPA CONCENTRADA DE DAMASCO
87,1299.0,PURE DE MANZANA CONCENTRADO
88,1299.0,DURAZNO
89,1299.0,PULPA DE DURAZNO
90,1299.0,PERA
91,1299.0,PURE DE PERA
92,1299.0,PURE DE DURAZNO CONCENTRADO
93,1299.0,CIRUELA
94,1299.0,PULPA DE PERA
95,1299.0,BATATA
96,1299.0,DAMASCO
97,1299.0,PURE DE ZAPALLO
98,1299.0,PURE DE BATATA
99,1299.0,PULPA CONCENTRADA DE PERA
100,1299.0,PULPA DE CIRUELA
101,1299.0,PULPA CONCENTRADA DE MANZANA
102,1299.0,PURE DE MANZANA
103,1300.0,LANA SUCIA
104,1301.0,ACEITE DE JOJOBA
105,1302.0,ARROZ
106,1303.0,GRANOS
107,1304.0,GIRASOL
108,1304.0,SOJA
109,1304.0,MAIZ
110,1305.0,MIEL
111,1306.0,MIEL
112,1307.0,CHIA SALVIA HISPANICA L
113,1308.0,ARANDANO
114,1308.0,MANZANA
115,1308.0,PERA
116,1308.0,CEREZA
117,1308.0,ACEITE DE OLIVA
118,1308.0,ACEITUNAS
119,1308.0,CIRUELA
120,1309.0,FRUTILLA
121,1309.0,FRUTILLA CONGELADA
122,1309.0,ARANDANO
123,1309.0,ARANDANO CONGELADO
124,1310.0,ACEITE DE JOJOBA
125,1311.0,CHIA SALVIA HISPANICA L
126,1312.0,CHIA
127,1313.0,CHOCOLATE
128,1314.0,PERA
129,1314.0,MANZANA
130,1315.0,ACEITE DE LIMPIEZA
131,1315.0,EMULSION CORPORAL ANTIAGE
132,1315.0,EMULSION CORPORAL NUTRITIVA
133,1315.0,EMULSION CORPORAL SUAVIZANTE
134,1315.0,CREMA FACIAL ANTIAGE
135,1315.0,CREMA FACIAL DIURNA
136,1315.0,CREMA FACIAL NOCTURNA NUTRITIVA
137,1315.0,SERUM CONTORNO DE LABIOS
138,1315.0,SERUM CONTORNO DE OJOS
139,1315.0,TONICO FACIAL
140,1316.0,GIRASOL
141,1316.0,ACEITE DE COLZA CANOLA
142,1316.0,ARROZ
143,1316.0,VINO
144,1316.0,MAIZ
145,1316.0,NUEZ
146,1316.0,ACEITE DE SOJA
147,1316.0,ACEITUNAS
148,1316.0,CHIA SALVIA HISPANICA L
149,1316.0,CIRUELA
150,1316.0,ACEITE DE GIRASOL
151,1316.0,ACEITE DE OLIVA
152,1316.0,LINO
153,1316.0,PASAS DE UVA
154,1317.0,TRIGO
155,1317.0,SOJA
156,1317.0,MAIZ
157,1317.0,MAIZ PISINGALLO
158,1317.0,SORGO
159,1317.0,CANOLA
160,1317.0,GIRASOL
161,1317.0,ALCOHOL
162,1318.0,AJO
163,1318.0,CEBOLLA
164,1318.0,ZAPALLO
165,1319.0,TE
166,1320.0,CARNE VACUNA
167,1321.0,ARROZ
168,1321.0,LINO
169,1321.0,ACEITE DE OLIVA
170,1321.0,HARINA DE MAIZ
171,1321.0,MAIZ
172,1321.0,MIJO
173,1321.0,TRIGO
174,1321.0,CENTENO
175,1321.0,CIRUELA DESHIDRATADA CON CAROZO
176,1321.0,MANZANA DESHIDRATADA
177,1322.0,CIRUELA
178,1322.0,MANZANA
179,1322.0,PERA
180,1322.0,ARANDANO
181,1323.0,PERA
182,1323.0,MANZANA
183,1324.0,LANA SUCIA
184,0.0,SOJA
185,1.0,GIRASOL
186,1.0,MIJO
187,1.0,RESIDUO VEGETAL
188,2.0,MAIZ
189,2.0,AVENA
190,2.0,CAMPO NATURAL
191,3.0,SOJA
192,3.0,ALPISTE
193,4.0,SOJA
194,4.0,ALPISTE
195,4.0,TRIGO
196,5.0,CEREALES
197,6.0,CEREALES
198,7.0,NUEZ PECAN
199,7.0,PASTURAS
200,7.0,INCULTO
201,8.0,GANADERIA BOVINA
202,9.0,ARANDANO
203,10.0,ARANDANO
204,10.0,FRAMBUESA
205,10.0,MORA
206,10.0,TOMATE
207,10.0,PIMIENTO
208,10.0,ZAPALLO
209,10.0,INCULTO
210,11.0,ARANDANO
211,11.0,DESCANSO
212,12.0,TRIGO
213,12.0,SOJA
214,13.0,LINO DORADO
215,13.0,SOJA
216,14.0,TRIGO
217,14.0,SOJA
218,15.0,TRIGO
219,15.0,SOJA
220,16.0,ARANDANO
221,16.0,PASTURAS
222,17.0,ARANDANO
223,17.0,NARANJA
224,18.0,VACAS
225,18.0,VAQUILLONAS
226,18.0,NOVILLOS
227,18.0,TOROS
228,18.0,TERNERAS
229,19.0,OLIVO
230,20.0,REPOLLO
231,20.0,ACELGA
232,20.0,BROCOLI
233,20.0,HINOJO
234,20.0,HABAS
235,20.0,ESPINACA
236,20.0,COLIFLOR
237,20.0,LECHUGA
238,20.0,CEBOLLA DE VERDEO
239,20.0,MANZANA
240,20.0,HIGOS
241,20.0,CIRUELA
242,20.0,PERA
243,20.0,DURAZNO
244,20.0,MANDARINA
245,20.0,POMELO
246,20.0,FORESTALES
247,21.0,ARANDANO
248,21.0,MORA
249,21.0,CIRUELA
250,21.0,DURAZNO
251,22.0,ARANDANOS
252,23.0,HORTALIZAS
253,24.0,HORTICULTURA
254,24.0,HORTALIZAS DE RAIZ
255,24.0,HOJA
256,24.0,FRUTOS
257,25.0,HUEVOS
258,26.0,AVENA
259,26.0,TRIGO
260,27.0,KIWI
261,28.0,CEREALES
262,29.0,CEREALES
263,30.0,TRIGO
264,30.0,CENTENO
265,30.0,AVENA
266,30.0,CEBADA
267,30.0,PASTURAS
268,30.0,CAMPO NATURAL
269,31.0,CEREALES
270,32.0,CEREALES
271,33.0,MAIZ
272,33.0,SOJA
273,33.0,GIRASOL
274,33.0,LINO
275,33.0,TRIGO
276,34.0,MAIZ
277,34.0,LINO
278,34.0,TRIGO
279,34.0,GIRASOL
280,35.0,AVENA
281,35.0,ARVEJA
282,35.0,ABONO VERDE
283,35.0,TRIGO
284,35.0,SORGO
285,36.0,KIWIS
286,37.0,VACAS
287,37.0,TERNEROS
288,38.0,KIWI
289,38.0,LIMON
290,38.0,MORAS SILVESTRES
291,38.0,NOGALES
292,38.0,MANDARINA
293,38.0,HIGO
294,39.0,ALFALFA
295,39.0,CAMPO NATURAL
296,39.0,SOJA
297,39.0,TRIGO
298,39.0,AVENA
299,39.0,CEBADA
300,39.0,ARVEJA
301,39.0,LINO
302,39.0,ZAPALLO
303,39.0,SESAMO
304,39.0,POROTO
305,39.0,AMARANTO
306,39.0,MAIZ
307,39.0,GIRASOL
308,39.0,SORGO
309,39.0,MAIZ PISINGALLO
310,40.0,CEREALES
311,40.0,OLEAGINOSAS
312,41.0,LECHE
313,41.0,VACAS DE TAMBO
314,41.0,VAQUILLONAS
315,41.0,TOROS
316,41.0,TERNERAS
317,41.0,TERNEROS
318,42.0,AVENA
319,43.0,RUCULA
320,43.0,RABANITO
321,43.0,PUERROS
322,43.0,PIMIENTOS
323,43.0,BERENJENAS
324,43.0,CEBOLLA
325,43.0,PEREJIL
326,43.0,ACELGA
327,43.0,REMOLACHA
328,43.0,ZAPALLO
329,43.0,BATATA
330,43.0,HINOJO
331,43.0,ESCAROLA
332,43.0,REPOLLO
333,43.0,ZANAHORIA
334,43.0,CHAUCHA
335,43.0,ZAPALLITO
336,43.0,ZUCCHINI
337,43.0,TOMATE
338,43.0,LECHUGA
339,43.0,CIBOULETTE
340,43.0,FRUTILLA
341,43.0,ESPINACA
342,43.0,ARVEJA
343,43.0,HABAS
344,43.0,PAK CHOY
345,43.0,RADICHETA
346,43.0,APIO
347,43.0,JENJIBRE
348,43.0,MILENRAMA
349,43.0,CEDRON
350,43.0,SALVIA
351,43.0,MENTA
352,43.0,MELISA
353,43.0,TOMILLO
354,43.0,ROMERO
355,43.0,MOSTAZA
356,43.0,CURCUMA
357,43.0,AJENJO
358,43.0,KALE
359,43.0,LIMON
360,43.0,MANZANA
361,43.0,BROCOLI
362,43.0,AJO
363,43.0,ALCAUCIL
364,44.0,CEREALES
365,44.0,OLEAGINOSAS
366,45.0,CEREALES
367,45.0,OLEAGINOSAS
368,46.0,CEREALES
369,46.0,OLEAGINOSAS
370,47.0,PASTURAS
371,47.0,SORGO
372,47.0,CEBADA
373,47.0,TRIGO
374,47.0,CAMPO NATURAL
375,48.0,GANADERIA BOVINA
376,49.0,CEREALES
377,50.0,AVENA
378,50.0,CEBADA
379,50.0,TRIGO
380,51.0,ZAPALLO RED HOKKAIDO
381,51.0,CEBOLLA
382,52.0,AVENA
383,52.0,TRIGO
384,53.0,AVENA
385,53.0,TRIGO
386,54.0,KIWI
387,54.0,DESCANSO
388,54.0,MONTE
389,55.0,SOJA
390,56.0,GANADERIA BOVINA
391,57.0,TRIGO
392,58.0,TRIGO
393,59.0,MAIZ
394,59.0,CENTENO
395,59.0,DESCANSO
396,59.0,SOJA
397,59.0,ABONO VERDE
398,60.0,ESPINACA
399,60.0,REPOLLO
400,60.0,ACELGA
401,60.0,LECHUGA
402,60.0,RADICHETA
403,60.0,NABO
404,60.0,RUCULA
405,60.0,HINOJO
406,60.0,BROCOLI
407,60.0,ZANAHORIA
408,60.0,PUERRO
409,60.0,ESPARRAGOS
410,60.0,BERENJENA
411,60.0,TOMATE
412,60.0,AJI
413,60.0,PIMIENTO
414,60.0,FRUTILLA
415,60.0,BATATA
416,60.0,ZAPALLO
417,60.0,REMOLACHA
418,60.0,ALCAUCIL
419,60.0,APIO
420,60.0,RABANITO
421,60.0,CEBOLLA
422,60.0,ZUCCHINI
423,60.0,NARANJA
424,60.0,LIMON
425,60.0,MANDARINA
426,60.0,POMELO
427,60.0,HIGOS
428,60.0,CIRUELA
429,60.0,QUINOTO
430,60.0,NUEZ
431,60.0,ALMENDRAS
432,60.0,PALTA
433,60.0,ZAPALLITO
434,61.0,SOJA
435,61.0,ABONO VERDE
436,62.0,MAIZ
437,63.0,MAIZ
438,64.0,SOJA
439,64.0,MAIZ
440,65.0,SOJA
441,65.0,ARVEJA
442,65.0,MAIZ
443,65.0,RESIDUO VEGETAL
444,66.0,CENTENO
445,66.0,MAIZ PISINGALLO
446,66.0,DESCANSO
447,66.0,SOJA
448,67.0,CEBADA
449,67.0,TRIGO
450,67.0,GANADERIA BOVINA
451,68.0,VACAS
452,68.0,TERNERAS
453,68.0,TOROS
454,68.0,VAQUILLONAS
455,68.0,NOVILLOS
456,69.0,GIRASOL ALTO OLEICO
457,69.0,DINKEL
458,70.0,ROMERO
459,70.0,LAVANDA
460,70.0,LAVANDIN
461,70.0,OREGANO
462,70.0,TOMILLO
463,70.0,SALVIA
464,70.0,HISOPO
465,70.0,MELISA
466,70.0,AJEDREA
467,71.0,SORGO FORRAJERO
468,71.0,GIRASOL
469,71.0,GANADERIA BOVINA
470,71.0,GANADERIA OVINA
471,72.0,RUCULA CHINA
472,72.0,NIRA
473,72.0,REMNOLACHA
474,72.0,PACK CHOI
475,72.0,REMOLACHA
476,72.0,BRASSICA CHINENSIS
477,72.0,BRASSICA ALBOGLABRA
478,72.0,BRASSICA JUNCEA
479,72.0,LECHUGA CHINA
480,72.0,RUCULA SELVATICA
481,72.0,APIO CHINO
482,72.0,ESPINACA
483,72.0,CRISANTEMO
484,72.0,IPOMOEA AQUATICA
485,72.0,BRASSICA NAPUS
486,73.0,VACAS
487,73.0,TERNERAS
488,73.0,TOROS
489,74.0,PASTURAS
490,75.0,MAIZ PISINGALLO
491,75.0,DESCANSO
492,75.0,GIRASOL ALTO OLEICO
493,76.0,CEREALES
494,76.0,OLEAGINOSAS
495,77.0,ALZA MELARIA
496,77.0,COLMENAS
497,77.0,NUCLEOS
498,78.0,TOROS
499,78.0,VACAS
500,78.0,TERNERAS
501,78.0,TERNEROS
502,79.0,ALFALFA
503,79.0,TRIGO
504,79.0,CENTENO
505,80.0,HORTALIZAS
506,81.0,HORTALIZAS
507,82.0,CEREALES
508,82.0,OLEAGINOSAS
509,83.0,CEREALES
510,83.0,OLEAGINOSAS
511,84.0,CEREALES
512,84.0,OLEAGINOSAS
513,85.0,CEREALES
514,85.0,OLEAGINOSAS
515,86.0,CEREALES
516,86.0,OLEAGINOSAS
517,87.0,CEREALES
518,87.0,OLEAGINOSAS
519,88.0,ZANAHORIA
520,88.0,CEBOLLA VERDEO
521,88.0,REPOLLO
522,88.0,LECHUGA
523,88.0,ACELGA
524,88.0,PEREJIL
525,88.0,RUCULA
526,88.0,PUERRO
527,88.0,NABO
528,88.0,AJO
529,88.0,ESPINACA
530,88.0,RADICHETA
531,89.0,INCULTO
532,89.0,AVENA
533,89.0,PASTURAS
534,89.0,CENTENO
535,89.0,SORGO
536,89.0,GIRASOL
537,90.0,CEREALES
538,90.0,OLEAGINOSAS
539,91.0,CEREALES
540,92.0,SORGO
541,93.0,SOJA
